orcid	first	last	other
0000-0001-6142-1106	Sujay Sanjeev	Patil	
0000-0001-6947-7286	Buck	Hanson	
0000-0001-7334-403X	Cassandra	Ettinger	Cassie
0000-0001-9076-6066	Mark	Miller	
0000-0001-9246-8193	Stanton	Martin	
0000-0002-0716-5890	Brandon	Davis	
0000-0002-2740-1344	Karen	Davenport	
0000-0002-4719-3490	Jeffrey	Baumes	
0000-0002-4848-8901	Jason	Rothman	
0000-0002-6150-307X	Patrick	Kalita	
0000-0002-8162-1276	Emiley	Eloe-Fadrosh	
0000-0002-8238-6757	Ulas	Karaoz	
0000-0002-8605-3546	Justine	Debelius	
0000-0002-8683-0050	Montana	Smith	
0000-0002-9231-0692	Pajau	Vangay	
0000-0003-4656-5480	Marisa	Rudolph	
0000-0003-4942-7569	Matt	Covalt	